"","V1","V2","V3","V4","V5","V6"
"EIX",0.0746387688563073,29.7191269159552,-29.8895800892883,-0.0347237849497692,0.043230432036652,4.99999999949106
"EL",0.0745824973160998,29.9164088416617,-29.999992806783,-0.0341670148526338,0.0979142009564,4.99999999999472
"EMN",0.0746389849763395,16.3094136022551,-16.6834433790745,-0.0347247869088313,0.019701417540289,4.9999999999885
"EMR",0.0745824947970155,29.9163318743271,-29.9999165993463,-0.0341669367470623,0.097915408892907,4.99999999998729
"EOG",0.0746392508256046,13.5870436540286,-13.857091887318,-0.03472585894157,0.0272886549902539,4.9999999999886
"EQIX",0.0745822974778439,29.9161316670317,-29.9997180677009,-0.0341657949502173,0.0979192118273099,4.99999999999028
"EQR",0.074639028305538,6.4079100893493,-6.71544837230284,-0.034725107653317,0.0239602600035801,4.99999999999577
"EQT",0.0745832347211772,29.9162883638,-29.9998757793044,-0.0341703748216862,0.0979130884007425,4.99999999995813
"ES",0.0746387371063275,24.1371262095919,-24.3592008002876,-0.0347236555238216,0.0331817122143455,4.99999999998818
"ESRX",0.0745829832540246,29.9163065866645,-29.9998887223585,-0.0341695857099752,0.0979083243357425,4.99999999998764
"ESS",0.0746388223896477,11.2970845308759,-11.6777864848176,-0.0347240537316326,0.0193558945106818,4.99999999997144
"ETFC",0.0746390227564345,19.042217175606,-19.272377759498,-0.0347247272355881,0.0320183056833761,4.99999999999593
"ETN",0.0745825364838014,21.0740290309982,-21.1547612861636,-0.0341673115459252,0.101372875348142,4.99999996349956
"ETR",0.0746388383584618,29.6086266108868,-29.811313083081,-0.0347241638241777,0.0363553784534597,4.99999999998353
"EVHC",0.0746397047387205,29.5372480392915,-29.7479029896617,-0.0347283903201821,0.0349792758464823,4.99999999999693
"EW",0.07463609425133,27.4753939573394,-27.599900946107,-0.0347107326341944,0.0591612318276033,4.99999929897869
"EXC",0.0745824437397077,29.0703190258411,-29.1536658453011,-0.0341673028819427,0.0981868147675818,4.99999998134649
"EXPD",0.0745824617202265,29.9162883556025,-29.9998716307015,-0.0341668970081159,0.097913873441035,4.99999999998778
"EXPE",0.0746390246646398,29.0376983928371,-29.218101126957,-0.0347248984476915,0.0408477870521791,4.9999999996046
